曲名,アーティスト名,正規化曲名,正規化アーティスト,曲キー,ジャンル,キー,歌唱回数,最初に歌った日,最後に歌った日,英語タイトル,備考
ローゼンメイデン風アンパンマンのマーチ,,ローゼンメイデン風アンパンマンのマーチ,,ローゼンメイデン風アンパンマンのマーチ,,,17,2021/10/18,2026/03/30,Anpanman's March (in Rozen Maiden style),
発声練習,,発声練習,,発声練習,,,20,2021/10/17,2026/03/21,,
旅立ちの日に,(合唱曲),旅立ちの日に,(合唱曲),旅立ちの日に / (合唱曲),,,1,2022/02/28,2022/02/28,Tabidachi no hi ni,
8.32,*Luna,8.32,*Luna,8.32 / *Luna,,,22,2021/07/11,2025/12/16,,
アトラクトライト,*Luna,アトラクトライト,*Luna,アトラクトライト / *Luna,,,5,2021/10/17,2025/08/08,Attract light,
end tree,164,end tree,164,end tree / 164,,,20,2021/09/25,2025/07/22,,
例えば、今此処に置かれた花に,164,例えば、今此処に置かれた花に,164,例えば、今此処に置かれた花に / 164,,,20,2021/06/18,2025/08/26,"Tatoeba, Ima Koko ni Okareta Hana ni",
天ノ弱,164,天ノ弱,164,天ノ弱 / 164,,,34,2021/06/18,2026/03/09,Amanojaku,
青,164,青,164,青 / 164,,,11,2021/08/21,2025/12/16,Ao,
Dear,19's Sound Factory,Dear,19's Sound Factory,Dear / 19's Sound Factory,,,14,2021/09/29,2025/08/26,,
ハイドアンド・シーク,19's Sound Factory,ハイドアンド・シーク,19's Sound Factory,ハイドアンド・シーク / 19's Sound Factory,,,13,2021/10/18,2026/03/09,Hide and Seek,
からくりピエロ,40mP,からくりピエロ,40mP,からくりピエロ / 40mP,,,43,2021/06/18,2026/04/02,Karakuri Pierrot,
キリトリセン,40mP,キリトリセン,40mP,キリトリセン / 40mP,,,9,2023/10/25,2026/03/13,Kiritorisen,
シリョクケンサ,40mP,シリョクケンサ,40mP,シリョクケンサ / 40mP,,,23,2021/06/18,2026/01/15,Shiryoku Kensa,
トリノコシティ,40mP,トリノコシティ,40mP,トリノコシティ / 40mP,,,24,2021/06/18,2026/01/15,Torinoko City,
ドレミファロンド,40mP,ドレミファロンド,40mP,ドレミファロンド / 40mP,,,23,2021/07/31,2026/03/28,Doremifa Rondo,
恋愛裁判,40mP,恋愛裁判,40mP,恋愛裁判 / 40mP,,,39,2021/06/18,2026/02/02,Ren'ai Saiban,
Tot Musica,Ado,Tot Musica,Ado,Tot Musica / Ado,,,5,2022/10/13,2026/01/10,,
うっせぇわ,Ado,うっせぇわ,Ado,うっせぇわ / Ado,,,6,2021/08/18,2023/05/10,Usseewa,
ギラギラ,Ado,ギラギラ,Ado,ギラギラ / Ado,,,32,2021/07/11,2026/04/17,Giragira,
クラクラ,Ado,クラクラ,Ado,クラクラ / Ado,,,15,2023/10/22,2026/03/16,Kurakura,
レディメイド,Ado,レディメイド,Ado,レディメイド / Ado,,,21,2021/06/11,2026/01/19,Ready Made,
唱,Ado,唱,Ado,唱 / Ado,,,19,2023/10/01,2026/03/13,Sho,
心という名の不可解,Ado,心という名の不可解,Ado,心という名の不可解 / Ado,,,22,2022/03/13,2025/11/29,kokoro to iu na no fukakai,
新時代,Ado,新時代,Ado,新時代 / Ado,,,10,2022/08/04,2025/05/31,Shin jidai,
永遠のあくる日,Ado,永遠のあくる日,Ado,永遠のあくる日 / Ado,,,30,2023/01/12,2026/04/23,Eien no Akuruhi,
私は最強,Ado,私は最強,Ado,私は最強 / Ado,,,19,2022/11/18,2026/02/07,Watashi ha Saikyou,
踊,Ado,踊,Ado,踊 / Ado,,,22,2021/07/11,2024/10/16,Odo,
逆光,Ado,逆光,Ado,逆光 / Ado,,,11,2022/09/12,2026/01/10,Gyakkou,
阿修羅ちゃん,Ado,阿修羅ちゃん,Ado,阿修羅ちゃん / Ado,,,20,2021/12/18,2026/03/16,Ashura chan,
心とかいう名前の未発見の臓器の機能についての考察,adstlaxy,心とかいう名前の未発見の臓器の機能についての考察,adstlaxy,心とかいう名前の未発見の臓器の機能についての考察 / adstlaxy,,,20,2021/06/18,2025/11/29,Kokoro toka Iu Namae no Mihakken no Zouki no Kinou ni Tsuite no Kousatsu,
1・2・3,After the Rain,1・2・3,After the Rain,1・2・3 / After the Rain,,,12,2021/10/03,2025/07/15,,
ブラッククリスマス,After the Rain,ブラッククリスマス,After the Rain,ブラッククリスマス / After the Rain,,,4,2022/01/03,2023/07/25,Black Christmas,
四季折々に揺蕩いて,After the Rain,四季折々に揺蕩いて,After the Rain,四季折々に揺蕩いて / After the Rain,,,18,2021/05/28,2025/07/28,Shiki oriori ni  Tayuta ite,
恋の始まる方程式,After the Rain,恋の始まる方程式,After the Rain,恋の始まる方程式 / After the Rain,,,2,2022/08/30,2026/02/02,Koi no Hajimaru Houteishiki,
KissHug,aiko,KissHug,aiko,KissHug / aiko,,,14,2022/09/15,2026/02/16,,
milk,aiko,milk,aiko,milk / aiko,,,2,2022/03/04,2025/09/16,,
カブトムシ,aiko,カブトムシ,aiko,カブトムシ / aiko,,,23,2021/05/28,2025/09/09,Kabutomushi,
キラキラ,aiko,キラキラ,aiko,キラキラ / aiko,,,3,2022/01/18,2025/08/21,Kirakira,
花火,aiko,花火,aiko,花火 / aiko,,,12,2023/08/23,2025/09/16,Hanabi,
I beg you,Aimer,I beg you,Aimer,I beg you / Aimer,,,37,2023/02/06,2026/04/17,,
カタオモイ,Aimer,カタオモイ,Aimer,カタオモイ / Aimer,,,42,2021/12/18,2026/03/24,Kataomoi,
六等星の夜,Aimer,六等星の夜,Aimer,六等星の夜 / Aimer,,,32,2022/11/02,2026/04/23,Rokutōsei no yoru,
太陽が昇らない世界,Aimer,太陽が昇らない世界,Aimer,太陽が昇らない世界 / Aimer,,,5,2025/08/19,2026/01/02,A World Where the Sun Never Rises,
星屑ビーナス,Aimer,星屑ビーナス,Aimer,星屑ビーナス / Aimer,,,2,2023/08/10,2023/09/11,Hoshikuzu Venus,
残響散歌,Aimer,残響散歌,Aimer,残響散歌 / Aimer,,,51,2021/12/18,2026/04/04,Zankyou sanka,
茜さす,Aimer,茜さす,Aimer,茜さす / Aimer,,,24,2022/11/29,2026/04/23,Akane sasu,
蝶々結び,Aimer,蝶々結び,Aimer,蝶々結び / Aimer,,,20,2022/10/06,2026/03/24,Chouchou musubi,
Bunny Girl,AKASAKI,Bunny Girl,AKASAKI,Bunny Girl / AKASAKI,,,21,2024/11/09,2026/04/11,,
フライングゲット,AKB48,フライングゲット,AKB48,フライングゲット / AKB48,,,1,2026/02/07,2026/02/07,Flying Get,
ヘビーローテーション,AKB48,ヘビーローテーション,AKB48,ヘビーローテーション / AKB48,,,1,2022/02/12,2022/02/12,Heavy Rotation,
創聖のアクエリオン,AKINO,創聖のアクエリオン,AKINO,創聖のアクエリオン / AKINO,,,35,2021/07/02,2025/09/22,Genesis of Aquarion,
亡國覚醒カタルシス,ALI PROJECT,亡國覚醒カタルシス,ALI PROJECT,亡國覚醒カタルシス / ALI PROJECT,,,3,2024/01/08,2026/03/08,Boukoku Kakusei Catharsis,
勇侠青春謳,ALI PROJECT,勇侠青春謳,ALI PROJECT,勇侠青春謳 / ALI PROJECT,,,9,2024/01/08,2026/03/08,Yuukyou Seishunka,
聖少女領域,ALI PROJECT,聖少女領域,ALI PROJECT,聖少女領域 / ALI PROJECT,,,18,2021/10/08,2025/08/28,Sei syoujo ryouiki,
かくれんぼ,AliA,かくれんぼ,AliA,かくれんぼ / AliA,,,2,2025/06/26,2025/09/01,Kakurenbo,
Shangri-La,angela,Shangri-La,angela,Shangri-La / angela,,,29,2021/07/11,2026/04/13,,
対象a,AnNina,対象a,AnNina,対象a / AnNina,,,4,2025/11/06,2026/02/06,Taishou a,
ちゅ、多様性。,ano,ちゅ、多様性。,ano,ちゅ、多様性。 / ano,,,16,2023/05/13,2025/10/18,"Chu, Tayousei.",
ALONES,Aqua Timez,ALONES,Aqua Timez,ALONES / Aqua Timez,,,11,2022/12/26,2026/03/08,,
千の夜をこえて,Aqua Timez,千の夜をこえて,Aqua Timez,千の夜をこえて / Aqua Timez,,,1,2022/09/12,2022/09/12,Sen no Yoru wo Koete,
決意の朝に,Aqua Timez,決意の朝に,Aqua Timez,決意の朝に / Aqua Timez,,,11,2022/02/27,2026/04/17,Ketsui no asa ni,
リライト,ASIAN KUNG-FU GENERATION,リライト,ASIAN KUNG-FU GENERATION,リライト / ASIAN KUNG-FU GENERATION,,,33,2021/12/18,2026/04/27,Rewrite,
マカロン,ATOLS,マカロン,ATOLS,マカロン / ATOLS,,,23,2021/06/11,2026/04/27,Macaron,
勿忘,Awesome City Club,勿忘,Awesome City Club,勿忘 / Awesome City Club,,,24,2021/12/18,2026/04/23,Wasurena,
シニカルナイトプラン,Ayase,シニカルナイトプラン,Ayase,シニカルナイトプラン / Ayase,,,17,2021/08/29,2025/09/08,Cynical Night Plan,
夜撫でるメノウ,Ayase,夜撫でるメノウ,Ayase,夜撫でるメノウ / Ayase,,,9,2025/11/06,2026/04/23,Agate Caressing the Night,
幽霊東京,Ayase,幽霊東京,Ayase,幽霊東京 / Ayase,,,24,2021/06/18,2026/03/23,Ghost City Tokyo,
Casino,Azari,Casino,Azari,Casino / Azari,,,2,2025/08/08,2026/04/27,,
D/N/A,Azari,D/N/A,Azari,D/N/A / Azari,,,5,2025/08/04,2026/04/04,,
はなまるぴっぴはよいこだけ,A応P,はなまるぴっぴはよいこだけ,A応P,はなまるぴっぴはよいこだけ / A応P,,,1,2024/02/02,2024/02/02,Hanamaru pippi ha yoiko dake,
おどるポンポコリン,B.B.クィーンズ,おどるポンポコリン,B.B.クィーンズ,おどるポンポコリン / B.B.クィーンズ,,,2,2022/06/15,2023/05/05,Odoru ponpokorin,
わたがし,Back number,わたがし,Back number,わたがし / Back number,,,3,2023/08/29,2025/09/16,Watagashi,
クリスマスソング,back number,クリスマスソング,back number,クリスマスソング / back number,,,14,2021/10/09,2025/11/18,Christmas Song,
ヒロイン,back number,ヒロイン,back number,ヒロイン / back number,,,20,2021/10/31,2025/12/09,heroine,
幸せ,back number,幸せ,back number,幸せ / back number,,,1,2022/12/01,2022/12/01,Shiawase,
水平線,back number,水平線,back number,水平線 / back number,,,30,2022/01/23,2026/04/23,Suiheisen,
瞬き,back number,瞬き,back number,瞬き / back number,,,10,2021/11/12,2026/04/02,Mabataki,
花束,back number,花束,back number,花束 / back number,,,5,2021/11/12,2025/12/04,Hanataba,
青い春,back number,青い春,back number,青い春 / back number,,,1,2026/03/19,2026/03/19,Aoi Haru,
高嶺の花子さん,back number,高嶺の花子さん,back number,高嶺の花子さん / back number,,,17,2021/05/28,2025/10/24,Takane no Hanako-san,
夏に去りし君を想フ,baker,夏に去りし君を想フ,baker,夏に去りし君を想フ / baker,,,1,2022/03/18,2022/03/18,Natsu ni Sarishi Kimi o Omofu,
涙そうそう,BEGIN,涙そうそう,BEGIN,涙そうそう / BEGIN,,,8,2021/10/02,2025/07/23,Nadasousou,
Loveit?,biz×ZERA,Loveit?,biz×ZERA,Loveit? / biz×ZERA,,,6,2023/09/03,2025/12/29,,
メリクリ,BoA,メリクリ,BoA,メリクリ / BoA,,,17,2021/10/08,2025/12/23,Merikuri,
I,BUMP OF CHICKEN,I,BUMP OF CHICKEN,I / BUMP OF CHICKEN,,,2,2026/04/25,2026/04/27,,
ray,BUMP OF CHICKEN,ray,BUMP OF CHICKEN,ray / BUMP OF CHICKEN,,,8,2026/02/27,2026/04/25,,
アカシア,BUMP OF CHICKEN,アカシア,BUMP OF CHICKEN,アカシア / BUMP OF CHICKEN,,,30,2021/10/31,2026/04/11,Acacia,
カルマ,BUMP OF CHICKEN,カルマ,BUMP OF CHICKEN,カルマ / BUMP OF CHICKEN,,,34,2021/09/11,2026/02/18,Karma,
スノースマイル,BUMP OF CHICKEN,スノースマイル,BUMP OF CHICKEN,スノースマイル / BUMP OF CHICKEN,,,1,2022/12/26,2022/12/26,Snow Smile,
ダンデライオン,BUMP OF CHICKEN,ダンデライオン,BUMP OF CHICKEN,ダンデライオン / BUMP OF CHICKEN,,,4,2022/09/26,2025/05/31,Dandelion,
ラフ・メイカー,BUMP OF CHICKEN,ラフ・メイカー,BUMP OF CHICKEN,ラフ・メイカー / BUMP OF CHICKEN,,,12,2021/10/08,2026/04/11,Laugh Maker,
天体観測,BUMP OF CHICKEN,天体観測,BUMP OF CHICKEN,天体観測 / BUMP OF CHICKEN,,,19,2021/08/18,2026/03/02,Tentai kansoku,
真っ赤な空を見ただろうか,BUMP OF CHICKEN,真っ赤な空を見ただろうか,BUMP OF CHICKEN,真っ赤な空を見ただろうか / BUMP OF CHICKEN,,,5,2021/10/24,2026/04/11,Makkana sora o mita darou ka,
花の名,BUMP OF CHICKEN,花の名,BUMP OF CHICKEN,花の名 / BUMP OF CHICKEN,,,2,2023/06/24,2025/03/19,Hana no na,
初恋サイダー,Buono!,初恋サイダー,Buono!,初恋サイダー / Buono!,,,5,2026/02/09,2026/04/11,hatsukoi cider,
しわ,BuzzG,しわ,BuzzG,しわ / BuzzG,,,15,2021/07/31,2025/10/09,Shiwa,
ワールド・ランプシェード,BuzzG,ワールド・ランプシェード,BuzzG,ワールド・ランプシェード / BuzzG,,,29,2021/06/18,2026/02/06,World Lampshade,
POP IN 2,B小町,POP IN 2,B小町,POP IN 2 / B小町,,,8,2025/03/05,2026/02/09,,
サインはB,B小町,サインはB,B小町,サインはB / B小町,,,18,2023/07/25,2026/02/09,Sign ha B,
アイのシナリオ,CHiCO with HoneyWorks,アイのシナリオ,CHiCO with HoneyWorks,アイのシナリオ / CHiCO with HoneyWorks,,,10,2021/09/11,2025/09/29,Ai no scenario,
プライド革命,CHiCO with HoneyWorks,プライド革命,CHiCO with HoneyWorks,プライド革命 / CHiCO with HoneyWorks,,,9,2021/08/30,2026/03/08,Pride Kakumei,
世界は恋に落ちている,CHiCO with HoneyWorks,世界は恋に落ちている,CHiCO with HoneyWorks,世界は恋に落ちている / CHiCO with HoneyWorks,,,10,2021/09/08,2026/01/12,Sekai wa koi ni ochiteiru,
決戦スピリット,CHiCO with HoneyWorks,決戦スピリット,CHiCO with HoneyWorks,決戦スピリット / CHiCO with HoneyWorks,,,15,2021/11/03,2026/03/21,Kessen Spirit,
私、アイドル宣言,CHiCO with HoneyWorks,私、アイドル宣言,CHiCO with HoneyWorks,私、アイドル宣言 / CHiCO with HoneyWorks,,,14,2021/07/17,2026/01/02,"Watashi, Idol Sengen",
グッバイ宣言,Chinozo,グッバイ宣言,Chinozo,グッバイ宣言 / Chinozo,,,14,2021/05/14,2024/06/12,Goodbye Sengen,
ジェラシス,Chinozo,ジェラシス,Chinozo,ジェラシス / Chinozo,,,4,2021/08/18,2022/03/08,Jealousis,
ALIVE,ClariS,ALIVE,ClariS,ALIVE / ClariS,,,27,2022/09/30,2026/04/17,,
コネクト,ClariS,コネクト,ClariS,コネクト / ClariS,,,62,2021/09/18,2026/03/08,Connect,
ヒトリゴト,ClariS,ヒトリゴト,ClariS,ヒトリゴト / ClariS,,,7,2025/07/31,2026/03/16,Hitorigoto,
ECHO,Crusher-P,ECHO,Crusher-P,ECHO / Crusher-P,,,15,2021/05/14,2026/03/28,,
かわいいだけじゃだめですか？,CUTIE STREET,かわいいだけじゃだめですか？,CUTIE STREET,かわいいだけじゃだめですか？ / CUTIE STREET,,,4,2025/10/31,2026/03/23,Kawaii dakeja dame desuka?,
ひたむきシンデレラ！,CUTIE STREET,ひたむきシンデレラ！,CUTIE STREET,ひたむきシンデレラ！ / CUTIE STREET,,,6,2025/02/19,2026/02/09,Hitamuki Cinderella,
asphyxia,Cö shu Nie,asphyxia,Cö shu Nie,asphyxia / Cö shu Nie,,,12,2021/10/08,2025/11/02,,
CITRUS,Da-iCE,CITRUS,Da-iCE,CITRUS / Da-iCE,,,21,2022/09/26,2026/02/27,,
ムーンライト伝説,DALI,ムーンライト伝説,DALI,ムーンライト伝説 / DALI,,,14,2022/02/28,2025/11/02,moonlight densetsu,
打上花火,DAOKO×米津玄師,打上花火,DAOKO×米津玄師,打上花火 / DAOKO×米津玄師,,,17,2021/08/07,2026/04/28,Uchiage hanabi,
蜜月アン・ドゥ・トロワ,DATEKEN,蜜月アン・ドゥ・トロワ,DATEKEN,蜜月アン・ドゥ・トロワ / DATEKEN,,,18,2021/10/03,2026/03/24,Mitsugetsu Un Deux Trois,
おじゃま虫,DECO*27,おじゃま虫,DECO*27,おじゃま虫 / DECO*27,,,14,2021/06/18,2025/09/29,Ojama mushi,
おじゃま虫Ⅱ,DECO*27,おじゃま虫Ⅱ,DECO*27,おじゃま虫Ⅱ / DECO*27,,,19,2021/08/23,2025/11/07,Ojama mushi Ⅱ,
アニマル,DECO*27,アニマル,DECO*27,アニマル / DECO*27,,,9,2022/01/23,2023/07/14,Animal,
アンドロイドガール,DECO*27,アンドロイドガール,DECO*27,アンドロイドガール / DECO*27,,,2,2021/08/29,2022/03/18,Android Girl,
ゴーストルール,DECO*27,ゴーストルール,DECO*27,ゴーストルール / DECO*27,,,18,2021/05/14,2025/10/11,Ghost Rule,
シンデレラ,DECO*27,シンデレラ,DECO*27,シンデレラ / DECO*27,,,18,2021/08/23,2026/03/02,Cinderella,
スクランブル交際,DECO*27,スクランブル交際,DECO*27,スクランブル交際 / DECO*27,,,5,2021/08/23,2025/09/13,Scramble Kousai,
ストリーミングハート,DECO*27,ストリーミングハート,DECO*27,ストリーミングハート / DECO*27,,,5,2021/08/23,2026/03/09,Streaming Heart,
ヒバナ,DECO*27,ヒバナ,DECO*27,ヒバナ / DECO*27,,,26,2021/05/14,2025/10/31,Hibana,
ボルテッカー,DECO*27,ボルテッカー,DECO*27,ボルテッカー / DECO*27,,,1,2023/10/21,2023/10/21,Volt Tackle,
ポジティブ・パレード,DECO*27,ポジティブ・パレード,DECO*27,ポジティブ・パレード / DECO*27,,,1,2021/08/23,2021/08/23,Positive Parade,
モザイクロール,DECO*27,モザイクロール,DECO*27,モザイクロール / DECO*27,,,21,2021/08/23,2026/01/15,mosaic roll,
モザイクロール (Reloaded),DECO*27,モザイクロール (Reloaded),DECO*27,モザイクロール (Reloaded) / DECO*27,,,9,2021/10/15,2026/01/05,mosaic roll (reloaded),
モニタリング,DECO*27,モニタリング,DECO*27,モニタリング / DECO*27,,,19,2025/02/01,2026/03/23,Monitoring,
ライアーダンス,DECO*27,ライアーダンス,DECO*27,ライアーダンス / DECO*27,,,3,2021/10/08,2024/12/17,Liar Dance,
リバーシブル・キャンペーン,DECO*27,リバーシブル・キャンペーン,DECO*27,リバーシブル・キャンペーン / DECO*27,,,2,2023/03/02,2024/12/17,Reversible Campaign,
ヴァンパイア,DECO*27,ヴァンパイア,DECO*27,ヴァンパイア / DECO*27,,,26,2021/05/14,2025/04/21,Vampire,
乙女解剖,DECO*27,乙女解剖,DECO*27,乙女解剖 / DECO*27,,,33,2021/06/18,2025/12/29,Otome Kaibou,
二息歩行,DECO*27,二息歩行,DECO*27,二息歩行 / DECO*27,,,18,2021/06/18,2025/11/18,Nisoku hokou,
夜行性ハイズ,DECO*27,夜行性ハイズ,DECO*27,夜行性ハイズ / DECO*27,,,2,2021/06/18,2022/03/15,Nocturnal Kids,
妄想感傷代償連盟,DECO*27,妄想感傷代償連盟,DECO*27,妄想感傷代償連盟 / DECO*27,,,21,2021/06/18,2025/06/05,Mousou Kanshou Daishou Renmei,
妄想税,DECO*27,妄想税,DECO*27,妄想税 / DECO*27,,,13,2021/06/18,2025/12/17,Mousou Zei,
弱虫モンブラン,DECO*27,弱虫モンブラン,DECO*27,弱虫モンブラン / DECO*27,,,22,2022/01/03,2026/02/25,Yowamushi Montblanc,
愛言葉Ⅲ,DECO*27,愛言葉Ⅲ,DECO*27,愛言葉Ⅲ / DECO*27,,,22,2021/06/18,2026/01/22,Ai Kotoba Ⅲ,
愛言葉Ⅳ,DECO*27,愛言葉Ⅳ,DECO*27,愛言葉Ⅳ / DECO*27,,,14,2022/07/03,2026/03/30,Ai Kotoba Ⅳ,
愛迷エレジー,DECO*27,愛迷エレジー,DECO*27,愛迷エレジー / DECO*27,,,13,2021/06/18,2025/11/18,Aimai Elegy,
毒占欲,DECO*27,毒占欲,DECO*27,毒占欲 / DECO*27,,,2,2022/03/23,2026/03/09,Dokusen'yoku,
デビルじゃないもん,DECO*27 x ピノキオピー,デビルじゃないもん,DECO*27 x ピノキオピー,デビルじゃないもん / DECO*27 x ピノキオピー,,,3,2023/05/21,2025/06/15,Devil Janai Mon,
会いたい,Dios/シグナルP,会いたい,Dios/シグナルP,会いたい / Dios/シグナルP,,,2,2021/12/29,2025/04/18,Aitai,
猫,DISH//,猫,DISH//,猫 / DISH//,,,25,2021/09/08,2025/10/07,Neko,
輝く未来,Disney(塔の上のラプンツェル),輝く未来,Disney(塔の上のラプンツェル),輝く未来 / Disney(塔の上のラプンツェル),,,2,2022/03/25,2022/11/26,Kagayaku mirai,
Just Be Friends,Dixie Flatline,Just Be Friends,Dixie Flatline,Just Be Friends / Dixie Flatline,,,33,2021/08/30,2026/03/09,,
バクチ・ダンサー,DOES,バクチ・ダンサー,DOES,バクチ・ダンサー / DOES,,,12,2022/12/15,2026/03/08,Bakuchi dancer,
曇天,DOES,曇天,DOES,曇天 / DOES,,,26,2022/08/04,2026/03/08,Donten,
キャットフード,Doriko,キャットフード,Doriko,キャットフード / Doriko,,,24,2023/04/24,2026/04/27,Cat Food,
ロミオとシンデレラ,doriko,ロミオとシンデレラ,doriko,ロミオとシンデレラ / doriko,,,53,2021/06/18,2026/04/27,Romeo to Cinderella,
ようかい体操第一,Dream5,ようかい体操第一,Dream5,ようかい体操第一 / Dream5,,,6,2022/05/21,2026/04/27,Yokai Taiso Daiichi,
撥条少女時計,Drop＆葉月ゆら,撥条少女時計,Drop＆葉月ゆら,撥条少女時計 / Drop＆葉月ゆら,,,5,2021/07/31,2026/02/20,Zenmai Shoujo Tokei,
ハッピーシンセサイザ,Easy Pop,ハッピーシンセサイザ,Easy Pop,ハッピーシンセサイザ / Easy Pop,,,25,2021/06/25,2025/12/22,Happy Synthesizer,
All Alone With You,EGOIST,All Alone With You,EGOIST,All Alone With You / EGOIST,,,5,2025/04/28,2026/03/24,,
BANG!!!,EGOIST,BANG!!!,EGOIST,BANG!!! / EGOIST,,,3,2026/01/08,2026/04/04,,
Departures ～あなたにおくるアイの歌～,EGOIST,Departures ～あなたにおくるアイの歌～,EGOIST,Departures ～あなたにおくるアイの歌～ / EGOIST,,,35,2021/08/16,2026/04/02,Departures ~anata ni okuru ai no uta~,
Ghost of a smile,EGOIST,Ghost of a smile,EGOIST,Ghost of a smile / EGOIST,,,48,2021/07/24,2026/04/03,,
KABANERI OF THE IRON FORTRESS,EGOIST,KABANERI OF THE IRON FORTRESS,EGOIST,KABANERI OF THE IRON FORTRESS / EGOIST,,,10,2024/06/11,2026/04/27,,
Planetes,EGOIST,Planetes,EGOIST,Planetes / EGOIST,,,5,2025/10/30,2026/03/24,,
The Everlasting Guilty Crown,EGOIST,The Everlasting Guilty Crown,EGOIST,The Everlasting Guilty Crown / EGOIST,,,16,2022/09/30,2025/07/31,,
エウテルペ,EGOIST,エウテルペ,EGOIST,エウテルペ / EGOIST,,,22,2022/02/07,2025/11/21,Euterpe,
名前のない怪物,EGOIST,名前のない怪物,EGOIST,名前のない怪物 / EGOIST,,,44,2021/09/04,2026/04/20,Namae no nai Kaibutsu,
咲かせや咲かせ,EGOIST,咲かせや咲かせ,EGOIST,咲かせや咲かせ / EGOIST,,,20,2022/02/06,2026/01/02,Sakase ya Sakase,
当事者,EGOIST,当事者,EGOIST,当事者 / EGOIST,,,16,2024/12/09,2026/03/30,Toujisha,
英雄 運命の詩,EGOIST,英雄 運命の詩,EGOIST,英雄 運命の詩 / EGOIST,,,13,2024/09/08,2026/04/27,Eiyuu Unmei no uta,
とても素敵な六月でした,Eight,とても素敵な六月でした,Eight,とても素敵な六月でした / Eight,,,14,2021/06/18,2026/03/13,Totemo Suteki na Rokugatsu Deshita,
お気に召すまま,Eve,お気に召すまま,Eve,お気に召すまま / Eve,,,1,2023/03/14,2023/03/14,Okini mesu mama,
アウトサイダー,Eve,アウトサイダー,Eve,アウトサイダー / Eve,,,15,2021/07/24,2026/04/13,Outsider,
ドラマツルギー,Eve,ドラマツルギー,Eve,ドラマツルギー / Eve,,,18,2021/08/12,2026/03/23,Dramaturgy,
ナンセンス文学,Eve,ナンセンス文学,Eve,ナンセンス文学 / Eve,,,4,2022/08/05,2026/04/20,Nonsense Bungaku,
廻廻奇譚,Eve,廻廻奇譚,Eve,廻廻奇譚 / Eve,,,16,2021/07/11,2026/04/20,Kaikai kitan,
惑星ループ,Eve,惑星ループ,Eve,惑星ループ / Eve,,,6,2021/10/24,2025/05/07,Wakusei Loop,
だいしきゅーだいしゅき,femme fatale,だいしきゅーだいしゅき,femme fatale,だいしきゅーだいしゅき / femme fatale,,,30,2023/02/14,2025/08/23,Daishikyu Daisuki,
青空のラプソディ,Fhána,青空のラプソディ,Fhána,青空のラプソディ / Fhána,,,6,2022/12/17,2026/03/13,Aozora no Rhapsody,
GO!!!,FLOW,GO!!!,FLOW,GO!!! / FLOW,,,20,2021/10/09,2026/04/13,,
君に届け,flumpool,君に届け,flumpool,君に届け / flumpool,,,6,2021/10/31,2026/03/02,Kimi ni Todoke,
Only my railgun,fripSide,Only my railgun,fripSide,Only my railgun / fripSide,,,13,2022/01/23,2025/10/06,,
わたしの一番かわいいところ,FRUITS ZIPPER,わたしの一番かわいいところ,FRUITS ZIPPER,わたしの一番かわいいところ / FRUITS ZIPPER,,,10,2024/08/31,2026/01/12,Watashi no ichiban kawaii tokoro,
うまぴょい伝説,gal’up！,うまぴょい伝説,gal’up！,うまぴょい伝説 / gal’up！,,,11,2021/10/08,2023/11/26,Umapyoi Densetsu,
極楽浄土,GARNiDELiA,極楽浄土,GARNiDELiA,極楽浄土 / GARNiDELiA,,,31,2021/08/21,2026/02/08,Gokuraku joudo,
ファタール,GEMN,ファタール,GEMN,ファタール / GEMN,,,1,2025/06/10,2025/06/10,Fatal,
Beyond the way,Giga,Beyond the way,Giga,Beyond the way / Giga,,,7,2024/02/12,2026/03/23,,
CH4NGE,Giga,CH4NGE,Giga,CH4NGE / Giga,,,41,2022/03/23,2026/03/30,,
G4L,Giga,G4L,Giga,G4L / Giga,,,16,2023/06/30,2026/03/23,,
ギガンティックO.T.N,Giga,ギガンティックO.T.N,Giga,ギガンティックO.T.N / Giga,,,1,2025/06/05,2025/06/05,Gigantic O.T.N,
一番の宝物,Girls Dead Monster,一番の宝物,Girls Dead Monster,一番の宝物 / Girls Dead Monster,,,10,2024/06/03,2026/03/30,Ichiban No Takaramono,
オトノナルホウヘ→,Goose house,オトノナルホウヘ→,Goose house,オトノナルホウヘ→ / Goose house,,,1,2024/12/17,2024/12/17,Oto no naru hou e→,
光るなら,Goose house,光るなら,Goose house,光るなら / Goose house,,,32,2021/09/17,2026/04/17,Hikaru Nara,
Can Do,GRANRODEO,Can Do,GRANRODEO,Can Do / GRANRODEO,,,7,2026/01/08,2026/04/04,,
キセキ,GReeeeN,キセキ,GReeeeN,キセキ / GReeeeN,,,14,2021/09/25,2025/09/22,Kiseki,
愛唄,GReeeeN,愛唄,GReeeeN,愛唄 / GReeeeN,,,17,2021/05/28,2025/09/22,Aiuta,
Blessing,halyosy,Blessing,halyosy,Blessing / halyosy,,,14,2021/07/31,2025/05/07,,
Fire◎Flower,halyosy,Fire◎Flower,halyosy,Fire◎Flower / halyosy,,,3,2022/01/03,2026/03/09,,
桜ノ雨,halyosy,桜ノ雨,halyosy,桜ノ雨 / halyosy,,,4,2021/10/10,2026/03/19,Sakura no ame,
